"UniqueID","T_block","T_air","T_leaf","T_below","T_above","T_thread","T_air_below","T_air_above","Threaded","Licor_Type","Licor_name","Species","Flow","PAR","Date","Notes"
1,7.81,14.38,14.66,15.59,16.51,16.02,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,12,17.33,17.51,18.57,19.49,18.82,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,16,20.47,20.53,21.61,22.51,21.71,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,20,23.47,23.4,24.42,25.34,24.41,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,24,26.53,26.33,27.32,28.29,27.26,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,28,29.52,29.15,30.12,31.14,30.02,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,32,32.52,32.02,32.89,33.97,32.74,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,36,35.44,34.79,35.58,36.77,35.45,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,40,38.5,37.78,38.51,39.85,38.38,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
1,44,41.3,40.38,40.94,42.44,40.92,NA,NA,"Y",6800,"Michaletz 1","Gaultheria Shallon",500,1600,"12-05-2020",""
4,15.5,17.23,19.44,22.49,23.45,22.13,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,18.01,19.22,21.07,23.53,24.3,22.93,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,22.11,22.57,23.72,25.26,25.93,25.04,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,26.02,25.87,26.37,27.14,27.64,26.97,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,30.11,29.29,28.99,28.96,29.29,28.74,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,34.01,32.59,31.45,30.76,30.88,30.54,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,38.11,36.06,33.97,32.63,32.5,32.41,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
4,39.52,37.26,34.79,33.24,33.01,33.03,NA,NA,"Y",6400,"Angert","Gaultheria Shallon",500,1600,"12-05-2020",""
5,8.02,14.77,15.02,16.28,16.62,15.64,14.07,13.9,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,12,17.42,17.58,18.68,19.22,18.04,16.85,16.7,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,16,20.28,20.24,21.24,21.86,20.48,19.3,19.6,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,20,23.15,22.96,23.91,24.58,23.08,21.94,22.5,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,24,26.24,25.9,26.79,27.54,25.83,24.83,25.6,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,28,29.16,28.66,29.49,30.34,28.4,27.58,28.7,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,32,32,31.27,32.04,33.03,30.86,30.22,31.6,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,36,34.86,33.94,34.64,35.8,33.37,32.91,30.73,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,40,37.18,36.01,36.48,37.97,34.97,34.98,37,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
5,44,39.92,38.5,38.66,40.41,37.05,37.31,39.8,"Y",6800,"Michaletz 1","Gaultheria Shallon",200,1600,"14-05-2020",""
8,14.03,15.76,19.09,20.29,21.27,19.38,17.53,19.75,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,16.07,17.42,20.43,21.47,22.33,20.34,18.89,20.64,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,19.97,20.68,23.03,23.76,24.53,22.17,21.63,22.46,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,24.07,24.13,25.62,26.02,26.63,23.89,24.43,24.27,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,27.97,27.4,28.02,28.11,28.62,25.5,27.15,25.98,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,32.06,30.89,30.62,30.37,30.75,27.2,29.99,27.8,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,35.97,34.24,33.01,32.5,32.77,28.81,32.69,29.62,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
8,39.79,37.56,35.42,34.68,34.83,30.31,35.38,31.4,"Y",6400,"Angert","Gaultheria Shallon",200,1600,"14-05-2020",""
